leb
13230
123.0|29.25
Maplewood Town
Acro Bike|Pinap Berry|Ultra Ball|Tm01|Hm01|Tm02|Tm03|Tm04|Full Heal|Great Ball|Full Restore
1|67|10|1|1|1|1|1|1|10|10
Mewtwo|Wartortle|Bulbasaur|Pikachu|Zubat|Charizard
pressure|torrent|overgrow|static|inner-focus|blaze
Increases the PP cost of moves targetting the Pokémon by one. |Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less. |Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less. |Has a 30% chance of paralyzing attacking Pokémon on contact. |Prevents flinching. |Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less. 
70|70|70|70|70|70
false|false|false|false|false|false
null|null|null|null|null|null
null|null|null|null|null|null
genderless|female|male|female|female|male
0|0|0|0|0|0
0|0|0|0|0|0
919270.0|919240.0|919240.0|919240.0|919240.0|919240.0
Psycho Cut|Rain Dance|Worry Seed|Discharge|Acrobatics|Flame Burst
Miracle Eye|Iron Defense|Seed Bomb|Electro Ball|Astonish|Inferno
Power Swap|Water Pulse|Sweet Scent|Light Screen|Air Cutter|Shadow Claw
Guard Swap|Aqua Tail|Synthesis|Feint|Air Slash|Fire Fang
